Country,registered,viewed,explored,certified,grade,nevents,ndays_act,nplay_video,nchapters,nforum_posts,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
Canada,1480.0,951.0,95.0,71.0,67.69,204515.0,5721.0,0,5941.0,31.0,1.0,0.642567567568,0.0641891891892,0.047972972973,0.0557119341564,168.602638087,4.45560747664,0,6.31349628055,0.0209459459459
Other South Asia,1457.0,980.0,118.0,88.0,84.33,234160.0,6427.0,0,6810.0,20.0,1.0,0.672614962251,0.0809883321894,0.060398078243,0.0670883054893,186.581673307,4.8359668924,0,6.91370558376,0.0137268359643
Bangladesh,135.0,66.0,8.0,3.0,2.95,12440.0,453.0,0,454.0,0.0,1.0,0.488888888889,0.0592592592593,0.0222222222222,0.0307291666667,129.583333333,4.31428571429,0,6.87878787879,0.0
Other South America,660.0,419.0,37.0,24.0,25.17,77592.0,2576.0,0,2357.0,0.0,1.0,0.634848484848,0.0560606060606,0.0363636363636,0.0457636363636,137.818827709,4.35871404399,0,5.72087378641,0.0
France,628.0,445.0,62.0,37.0,34.51,104326.0,2668.0,0,3284.0,0.0,1.0,0.708598726115,0.0987261146497,0.0589171974522,0.0628597449909,188.314079422,4.59208261618,0,7.3797752809,0.0
Other East Asia,1698.0,1108.0,57.0,49.0,48.21,158359.0,5254.0,0,5128.0,13.0,1.0,0.652532391048,0.0335689045936,0.0288574793875,0.0326404874746,103.098307292,3.30440251572,0,4.61151079137,0.00765606595995
Other Oceania,26.0,11.0,1.0,1.0,0.92,3045.0,97.0,0,79.0,0.0,1.0,0.423076923077,0.0384615384615,0.0384615384615,0.04,160.263157895,4.85,0,7.18181818182,0.0
Other Europe,4593.0,3224.0,498.0,345.0,340.68,992840.0,25079.0,0,26088.0,158.0,1.0,0.70193773133,0.108425865447,0.0751143043762,0.0858352229781,246.484607746,5.91904649516,0,8.08930232558,0.0344001741781
Nigeria,370.0,183.0,21.0,11.0,13.11,34750.0,1215.0,0,1121.0,6.0,1.0,0.494594594595,0.0567567567568,0.0297297297297,0.0437,125.905797101,3.94480519481,0,6.29775280899,0.0162162162162
"Other North & Central Amer., Caribbean",307.0,176.0,16.0,17.0,17.2,34381.0,1135.0,0,953.0,0.0,1.0,0.57328990228,0.0521172638436,0.0553745928339,0.0725738396624,134.30078125,4.12727272727,0,5.60588235294,0.0
Australia,680.0,438.0,48.0,35.0,32.93,83628.0,2499.0,0,2721.0,0.0,1.0,0.644117647059,0.0705882352941,0.0514705882353,0.0580776014109,150.953068592,4.24278438031,0,6.17006802721,0.0
China,980.0,617.0,17.0,19.0,19.02,53287.0,2544.0,0,2091.0,0.0,1.0,0.629591836735,0.0173469387755,0.019387755102,0.0231105710814,59.4720982143,2.73548387097,0,3.42225859247,0.0
Russian Federation,571.0,375.0,54.0,34.0,35.41,101655.0,3022.0,0,2735.0,0.0,1.0,0.656742556918,0.0945709281961,0.0595446584939,0.0727104722793,219.084051724,6.19262295082,0,7.27393617021,0.0
Germany,1087.0,832.0,141.0,98.0,91.05,253863.0,6488.0,0,7144.0,11.0,1.0,0.765409383625,0.129714811408,0.0901563937443,0.0952405857741,259.043877551,6.34213098729,0,8.55568862275,0.0101195952162
Philippines,470.0,274.0,25.0,15.0,16.9,57355.0,1657.0,0,1711.0,15.0,1.0,0.582978723404,0.0531914893617,0.031914893617,0.0459239130435,152.539893617,4.13216957606,0,6.31365313653,0.031914893617
Spain,727.0,502.0,63.0,42.0,41.62,134799.0,3815.0,0,3438.0,5.0,1.0,0.690508940853,0.0866574965612,0.0577716643741,0.0699495798319,217.768982229,5.83333333333,0,6.8622754491,0.00687757909216
Ukraine,341.0,225.0,22.0,17.0,19.23,61807.0,2080.0,0,1500.0,0.0,1.0,0.659824046921,0.0645161290323,0.049853372434,0.0634653465347,216.866666667,6.81967213115,0,6.69642857143,0.0
Poland,405.0,297.0,33.0,23.0,23.78,65772.0,1985.0,0,1950.0,10.0,1.0,0.733333333333,0.0814814814815,0.0567901234568,0.0714114114114,178.72826087,5.30748663102,0,6.54362416107,0.0246913580247
Indonesia,227.0,120.0,16.0,4.0,6.06,25211.0,646.0,0,859.0,0.0,1.0,0.528634361233,0.0704845814978,0.0176211453744,0.0336666666667,151.873493976,3.56906077348,0,7.15833333333,0.0
United States,19653.0,11495.0,1192.0,624.0,614.47,2477585.0,77950.0,0,71698.0,1908.0,1.0,0.584897979952,0.0606523177123,0.0317508777286,0.0367924076403,161.81732088,4.80224248398,0,6.24220790528,0.0970844145932
Morocco,163.0,103.0,6.0,2.0,3.54,15947.0,441.0,0,504.0,0.0,1.0,0.631901840491,0.0368098159509,0.0122699386503,0.0254676258993,117.257352941,3.02054794521,0,4.84615384615,0.0
Unknown/Other,6161.0,128.0,13.0,15.0,15.69,28149.0,710.0,0,892.0,0.0,1.0,0.0207758480766,0.00211004707028,0.00243466969648,0.00285896501458,183.980392157,4.46540880503,0,6.86153846154,0.0
Other Africa,1326.0,713.0,63.0,69.0,65.21,145170.0,5023.0,0,4245.0,6.0,1.0,0.537707390649,0.0475113122172,0.052036199095,0.0588537906137,140.396518375,4.34891774892,0,5.97887323944,0.00452488687783
Brazil,2273.0,1497.0,161.0,129.0,122.14,346731.0,9394.0,0,9066.0,47.0,1.0,0.658600967884,0.07083150022,0.0567531896172,0.0611923847695,178.635239567,4.67828685259,0,6.15061058345,0.0206775186978
Pakistan,507.0,250.0,21.0,19.0,18.09,44372.0,1435.0,0,1363.0,0.0,1.0,0.493096646943,0.0414201183432,0.0374753451677,0.044888337469,117.07651715,3.44951923077,0,5.43027888446,0.0
Portugal,109.0,71.0,9.0,6.0,6.17,24164.0,676.0,0,553.0,0.0,1.0,0.651376146789,0.0825688073394,0.0550458715596,0.0709195402299,259.827956989,6.5,0,7.68055555556,0.0
Mexico,368.0,228.0,23.0,15.0,14.11,49500.0,1342.0,0,1350.0,0.0,1.0,0.619565217391,0.0625,0.0407608695652,0.0489930555556,160.714285714,4.09146341463,0,5.97345132743,0.0
Egypt,196.0,118.0,13.0,9.0,8.18,24225.0,1066.0,0,771.0,0.0,1.0,0.602040816327,0.0663265306122,0.0459183673469,0.0560273972603,151.40625,5.95530726257,0,6.47899159664,0.0
India,4239.0,2717.0,302.0,231.0,237.22,602388.0,17566.0,0,17962.0,504.0,1.0,0.640953054966,0.07124321774,0.0544939844303,0.0683237327189,171.522779043,4.66560424967,0,6.60853568801,0.11889596603
Other Middle East/Central Asia,1360.0,830.0,83.0,66.0,68.92,172522.0,5324.0,0,5234.0,6.0,1.0,0.610294117647,0.0610294117647,0.0485294117647,0.0604031551271,150.019130435,4.35679214403,0,6.2757793765,0.00441176470588
United Kingdom,2444.0,1546.0,190.0,138.0,130.4,377006.0,10606.0,0,10659.0,65.0,1.0,0.632569558101,0.0777414075286,0.056464811784,0.0615094339623,183.19047619,4.80344202899,0,6.90797148412,0.0265957446809
Colombia,308.0,207.0,16.0,13.0,13.56,32097.0,997.0,0,1029.0,0.0,1.0,0.672077922078,0.0519480519481,0.0422077922078,0.0592139737991,120.213483146,3.49824561404,0,5.06896551724,0.0
Greece,591.0,408.0,85.0,67.0,62.36,167441.0,3872.0,0,3885.0,0.0,1.0,0.690355329949,0.143824027073,0.113367174281,0.122755905512,330.258382643,7.14391143911,0,9.64019851117,0.0
Japan,866.0,607.0,23.0,10.0,9.46,75265.0,3030.0,0,2516.0,0.0,1.0,0.700923787529,0.026558891455,0.0115473441109,0.012801082544,91.8986568987,3.63309352518,0,4.1044045677,0.0
