Country,viewed,explored,certified,grade,events,active days,video play,chapters,forum posts
Canada,0.41,0.02,0.02,0.03,166.26,4.0,35.12,2.36,0.0
Other South Asia,0.46,0.04,0.02,0.04,165.25,4.38,37.4,2.59,0.0
Bangladesh,0.32,0.01,0.01,0.01,92.17,2.86,27.0,2.09,0.0
Other South America,0.47,0.03,0.01,0.02,158.26,4.08,40.3,2.43,0.0
France,0.42,0.05,0.02,0.03,173.52,3.84,45.32,2.73,0.0
Nigeria,0.48,0.05,0.03,0.04,211.8,5.59,43.96,2.62,0.0
Other Oceania,0.18,0.06,0.03,0.03,143.4,4.13,68.2,3.67,0.0
Other Europe,0.45,0.03,0.02,0.03,186.49,4.31,42.87,2.62,0.0
Other East Asia,0.41,0.04,0.02,0.03,130.59,3.3,34.81,2.65,0.0
"Other North & Central Amer., Caribbean",0.51,0.03,0.03,0.05,165.95,4.33,26.09,2.4,0.0
Australia,0.42,0.03,0.02,0.03,145.18,4.73,28.36,2.46,0.0
Germany,0.53,0.06,0.05,0.05,245.46,4.96,48.8,2.94,0.0
Russian Federation,0.47,0.02,0.01,0.02,169.47,4.56,35.02,2.14,0.0
China,0.39,0.0,0.0,0.01,47.69,2.87,23.5,2.01,0.0
Philippines,0.45,0.02,0.01,0.03,167.81,3.71,33.57,2.42,0.0
Spain,0.54,0.08,0.04,0.07,280.91,6.21,49.51,2.99,0.0
Ukraine,0.4,0.06,0.02,0.04,260.67,6.05,54.33,2.95,0.0
Poland,0.46,0.03,0.02,0.04,137.12,3.81,24.75,2.57,0.0
Indonesia,0.38,0.03,0.02,0.03,150.29,4.73,33.53,2.64,0.0
United States,0.4,0.03,0.02,0.03,161.37,4.17,36.04,2.4,0.01
Morocco,0.35,0.01,0.01,0.01,90.86,2.79,20.63,2.03,0.0
Unknown/Other,0.02,0.0,0.0,0.0,157.95,4.08,37.84,2.62,0.0
Other Africa,0.43,0.03,0.02,0.02,172.32,5.63,66.91,2.44,0.0
Brazil,0.42,0.03,0.01,0.02,146.9,3.71,31.03,2.4,0.0
Pakistan,0.33,0.03,0.01,0.02,110.87,3.98,19.11,2.53,0.0
Portugal,0.45,0.07,0.04,0.06,249.25,5.46,50.45,2.9,0.0
Mexico,0.48,0.04,0.03,0.04,258.14,5.32,80.07,2.61,0.0
Egypt,0.35,0.02,0.02,0.03,156.58,6.85,65.65,2.25,0.0
India,0.43,0.05,0.03,0.04,156.37,5.0,30.62,2.65,0.0
Other Middle East/Central Asia,0.43,0.04,0.02,0.03,143.11,4.02,36.67,2.47,0.0
United Kingdom,0.44,0.03,0.02,0.03,164.68,4.34,32.91,2.43,0.0
Colombia,0.46,0.03,0.02,0.03,255.3,5.49,96.39,2.34,0.0
Greece,0.45,0.08,0.04,0.06,299.89,5.87,72.48,3.33,0.0
Japan,0.52,0.02,0.01,0.01,89.08,2.59,24.56,2.17,0.0
