Course,Viewed,Explored,Certified,Grade,Events,Active days,Video plays,Chapters,Forum posts
MITx/3.091x/2012_Fall,0.51,0.02,0.01,0.02,143.48,2.69,17.58,2.37,0.0
HarvardX/ER22x/2013_Spring,0.49,0.04,0.04,0.04,117.08,3.45,0.0,5.43,0.0
MITx/8.MReV/2013_Summer,0.57,0.01,0.01,0.01,142.32,3.43,0.0,3.2,0.0
MITx/6.002x/2012_Fall,0.63,0.05,0.03,0.04,252.65,4.5,43.34,3.53,0.02
MITx/14.73x/2013_Spring,0.57,0.04,0.03,0.03,255.05,3.37,16.67,2.31,0.0
MITx/6.00x/2013_Spring,0.94,0.01,0.0,0.0,111.58,2.64,36.38,2.39,0.0
MITx/7.00x/2013_Spring,0.58,0.05,0.03,0.05,305.88,4.38,17.77,3.4,0.0
MITx/3.091x/2013_Spring,0.99,0.01,0.0,0.01,267.14,2.84,48.43,2.86,0.0
MITx/2.01x/2013_Spring,0.59,0.05,0.02,0.02,178.74,4.14,42.85,2.67,0.0
HarvardX/PH278x/2013_Spring,0.33,0.03,0.01,0.02,110.87,3.98,19.11,2.53,0.0
MITx/6.002x/2013_Spring,0.42,0.03,0.01,0.02,138.6,3.42,33.57,3.45,0.0
HarvardX/CB22x/2013_Spring,0.35,0.05,0.05,0.04,178.52,4.46,0.0,5.18,0.0
HarvardX/CS50x/2012,0.59,0.07,0.0,0.0,26.23,3.12,0.0,2.76,0.0
MITx/6.00x/2012_Fall,0.53,0.01,0.0,0.01,94.04,2.91,37.26,2.3,0.0
HarvardX/PH207x/2012_Fall,0.53,0.07,0.02,0.04,278.41,4.13,108.6,3.63,0.0
MITx/8.02x/2013_Spring,0.62,0.02,0.01,0.01,265.26,3.94,53.19,3.08,0.04
Overall average,0.58,0.04,0.02,0.02,179.12,3.59,29.67,3.19,0.0
