Course,viewed,explored,certified,grade,events,active days,video play,chapters,forum posts
MITx/3.091x/2012_Fall,0.47,0.04,0.02,0.03,441.12,4.8,115.43,3.0,0.02
MITx/6.002x/2013_Spring,0.47,0.03,0.01,0.02,312.38,4.61,82.73,3.62,0.0
MITx/8.MReV/2013_Summer,0.71,0.04,0.03,0.04,587.91,5.55,16.42,5.11,0.01
MITx/6.00x/2012_Fall,0.61,0.06,0.03,0.04,726.41,7.4,111.9,3.82,0.08
MITx/6.002x/2012_Fall,0.61,0.05,0.03,0.04,458.82,5.77,112.9,3.66,0.03
MITx/14.73x/2013_Spring,0.59,0.11,0.08,0.09,672.35,6.27,103.89,3.32,0.03
MITx/6.00x/2013_Spring,0.95,0.04,0.02,0.03,534.93,5.99,67.78,3.36,0.04
MITx/7.00x/2013_Spring,0.64,0.08,0.04,0.04,617.87,7.28,130.55,3.92,0.14
MITx/3.091x/2013_Spring,0.96,0.02,0.01,0.02,323.06,4.29,62.98,2.95,0.0
MITx/2.01x/2013_Spring,0.67,0.08,0.03,0.04,485.27,6.48,83.02,3.06,0.02
HarvardX/PH278x/2013_Spring,0.4,0.03,0.02,0.03,161.37,4.17,36.04,2.4,0.01
HarvardX/CS50x/2012,0.66,0.06,0.01,0.01,39.59,4.16,0.0,2.41,0.0
HarvardX/CB22x/2013_Spring,0.58,0.01,0.01,0.01,132.56,4.38,0.0,3.07,0.01
HarvardX/ER22x/2013_Spring,0.58,0.06,0.03,0.04,161.82,4.8,0.0,6.24,0.1
HarvardX/PH207x/2012_Fall,0.57,0.07,0.03,0.05,545.24,5.69,171.01,3.82,0.02
MITx/8.02x/2013_Spring,0.65,0.05,0.02,0.03,648.08,6.66,112.77,3.83,0.05
