Course,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
MITx/3.091x/2012_Fall,1.0,0.07,0.01,0.0,0.01,103.94,2.72,55.75,2.68,0.0
MITx/6.002x/2013_Spring,1.0,0.08,0.01,0.0,0.0,225.09,4.24,55.35,3.88,0.0
MITx/6.002x/2012_Fall,1.0,0.36,0.01,0.0,0.0,138.88,3.34,32.81,2.07,0.0
MITx/6.00x/2012_Fall,1.0,0.11,0.01,0.0,0.0,229.7,3.88,93.51,2.69,0.0
MITx/14.73x/2013_Spring,1.0,0.2,0.01,0.01,0.01,467.95,5.21,77.29,1.87,0.0
MITx/6.00x/2013_Spring,1.0,0.78,0.0,0.0,0.0,337.35,5.0,57.03,1.93,0.0
MITx/8.MReV/2013_Summer,1.0,0.14,0.0,0.0,0.01,156.45,1.93,0.0,2.97,0.0
MITx/3.091x/2013_Spring,1.0,0.85,0.01,0.0,0.0,420.29,4.73,9.75,1.79,0.0
MITx/2.01x/2013_Spring,1.0,0.16,0.03,0.0,0.02,77.41,2.44,17.5,2.54,0.0
HarvardX/PH278x/2013_Spring,1.0,0.02,0.0,0.0,0.0,157.95,4.08,37.84,2.62,0.0
HarvardX/CB22x/2013_Spring,1.0,0.03,0.0,0.0,0.0,140.44,4.26,0.0,2.62,0.0
HarvardX/CS50x/2012,1.0,0.52,0.02,0.0,0.0,25.93,3.69,0.0,1.77,0.0
HarvardX/ER22x/2013_Spring,1.0,0.02,0.0,0.0,0.0,183.98,4.47,0.0,6.86,0.0
MITx/7.00x/2013_Spring,1.0,0.06,0.01,0.0,0.01,409.84,5.45,134.88,4.36,0.0
HarvardX/PH207x/2012_Fall,1.0,0.08,0.02,0.0,0.01,529.5,6.56,189.23,4.8,0.0
MITx/8.02x/2013_Spring,1.0,0.28,0.0,0.0,0.0,331.09,4.56,94.14,2.3,0.0
